No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team
67,伊藤　琉偉,内野手,2002/09/11,22歳,1年,180cm,78kg,O型,右右,群馬,700万円,ヤクルト
68,丸山　翔大,投手,1998/08/22,26歳,4年,194cm,90kg,A型,右左,福岡,700万円,ヤクルト
69,今野　龍太,投手,1995/05/11,29歳,11年,178cm,86kg,AB型,右右,宮城,"3,400万円",ヤクルト
90,中川　拓真,捕手,2002/07/17,22歳,4年,180cm,88kg,B型,右右,愛知,500万円,ヤクルト
93,橋本　星哉,捕手,2000/09/18,24歳,2年,178cm,85kg,O型,右左,兵庫,300万円,ヤクルト
99,ヤフーレ,投手,1998/05/01,26歳,1年,185cm,97kg,不明,右両,ベネズエラ,"8,100万円",ヤクルト
0,川瀬　晃,内野手,1997/09/15,27歳,9年,175cm,71kg,B型,右左,大分,"2,700万円",ソフトバンク
1,風間　球打,投手,2003/10/11,21歳,3年,184cm,97kg,B型,右左,山梨,"1,000万円",ソフトバンク
2,スチュワート・ジュニア,投手,1999/11/02,25歳,6年,198cm,101kg,不明,右右,アメリカ,"11,000万円",ソフトバンク
3,近藤　健介,外野手,1993/08/09,31歳,13年,171cm,86kg,O型,右左,千葉,"55,000万円",ソフトバンク
4,ダウンズ,内野手,1998/07/27,26歳,1年,178cm,89kg,不明,右右,コロンビア,"7,000万円",ソフトバンク
6,今宮　健太,内野手,1991/07/15,33歳,15年,172cm,76kg,O型,右右,大分,"30,000万円",ソフトバンク
7,中村　晃,外野手,1989/11/05,35歳,17年,175cm,81kg,O型,左左,埼玉,"15,000万円",ソフトバンク
8,牧原　大成,内野手,1992/10/15,32歳,14年,172cm,74kg,A型,右左,福岡,"10,000万円",ソフトバンク
9,柳田　悠岐,外野手,1988/10/09,36歳,14年,188cm,93kg,AB型,右左,広島,"57,000万円",ソフトバンク
11,津森　宥紀,投手,1998/01/21,26歳,5年,176cm,85kg,O型,右右,和歌山,"6,600万円",ソフトバンク
12,嶺井　博希,捕手,1991/06/04,33歳,11年,176cm,87kg,B型,右右,沖縄,"7,500万円",ソフトバンク
13,三森　大貴,内野手,1999/02/21,25歳,8年,186cm,76kg,A型,右左,埼玉,"4,300万円",ソフトバンク
14,又吉　克樹,投手,1990/11/04,34歳,11年,179cm,75kg,A型,右右,沖縄,"15,000万円",ソフトバンク
16,東浜　巨,投手,1990/06/20,34歳,12年,182cm,81kg,A型,右右,沖縄,"15,000万円",ソフトバンク
17,有原　航平,投手,1992/08/11,32歳,8年,190cm,100kg,AB型,右右,広島,"50,000万円",ソフトバンク
18,武田　翔太,投手,1993/04/03,31歳,13年,187cm,92kg,B型,右右,宮崎,"15,000万円",ソフトバンク
19,甲斐　拓也,捕手,1992/11/05,32歳,14年,170cm,87kg,O型,右右,大分,"21,000万円",ソフトバンク
20,中村　亮太,投手,1998/05/18,26歳,4年,182cm,79kg,O型,右右,千葉,650万円,ソフトバンク
21,和田　毅,投手,1981/02/21,43歳,18年,179cm,81kg,O型,左左,島根,"20,000万円",ソフトバンク
22,牧原　巧汰,捕手,2002/07/13,22歳,4年,176cm,84kg,O型,右左,神奈川,550万円,ソフトバンク
23,周東　佑京,内野手,1996/02/10,28歳,7年,180cm,71kg,A型,右左,群馬,"4,500万円",ソフトバンク
24,栗原　陵矢,内野手,1996/07/04,28歳,10年,179cm,83kg,A型,右左,福井,"6,300万円",ソフトバンク
25,山川　穂高,内野手,1991/11/23,33歳,11年,176cm,103kg,A型,右右,沖縄,"30,000万円",ソフトバンク
26,大津　亮介,投手,1999/01/13,25歳,2年,175cm,64kg,B型,右左,福岡,"3,000万円",ソフトバンク
27,岩井　俊介,投手,2001/07/30,23歳,1年,181cm,92kg,O型,右右,愛知,"1,200万円",ソフトバンク
28,ウォーカー,外野手,1991/10/18,33歳,3年,196cm,104kg,不明,右右,アメリカ,"10,000万円",ソフトバンク
29,石川　柊太,投手,1991/12/27,33歳,11年,185cm,88kg,O型,右右,東京,"12,000万円",ソフトバンク
30,佐藤　直樹,外野手,1998/09/03,26歳,5年,177cm,88kg,AB型,右右,兵庫,"1,300万円",ソフトバンク
31,正木　智也,外野手,1999/11/05,25歳,3年,182cm,92kg,O型,右右,東京,"1,200万円",ソフトバンク
32,柳町　達,外野手,1997/04/20,27歳,5年,180cm,80kg,B型,右左,茨城,"3,400万円",ソフトバンク
33,廣瀨　隆太,内野手,2001/04/07,23歳,1年,181cm,88kg,A型,右右,東京,"1,000万円",ソフトバンク
34,村田　賢一,投手,2001/08/31,23歳,1年,179cm,91kg,O型,右右,千葉,"1,000万円",ソフトバンク
35,モイネロ,投手,1995/12/08,29歳,8年,178cm,69kg,不明,左左,キューバ,"30,000万円",ソフトバンク
36,イヒネ　イツア,内野手,2004/09/02,20歳,2年,184cm,78kg,A型,右左,愛知,800万円,ソフトバンク
37,生海,外野手,2000/07/11,24歳,2年,183cm,96kg,B型,右左,福岡,"1,050万円",ソフトバンク
38,澤柳　亮太郎,投手,2000/03/08,24歳,1年,178cm,88kg,A型,右右,東京,"1,000万円",ソフトバンク
39,尾形　崇斗,投手,1999/05/15,25歳,7年,182cm,82kg,O型,右左,宮城,900万円,ソフトバンク
40,杉山　一樹,投手,1997/12/07,27歳,6年,193cm,105kg,A型,右右,静岡,"1,500万円",ソフトバンク
41,前田　悠伍,投手,2005/08/04,19歳,1年,179cm,76kg,A型,左左,滋賀,"1,000万円",ソフトバンク
42,三浦　瑞樹,投手,1999/09/02,25歳,3年,174cm,78kg,A型,左右,神奈川,400万円,ソフトバンク
43,井上　朋也,内野手,2003/01/28,21歳,4年,182cm,89kg,A型,右右,大阪,900万円,ソフトバンク
44,笹川　吉康,外野手,2002/05/31,22歳,4年,193cm,95kg,A型,左左,神奈川,640万円,ソフトバンク
45,谷川原　健太,捕手,1997/04/16,27歳,9年,174cm,87kg,B型,右左,愛知,"1,500万円",ソフトバンク
46,川原田　純平,内野手,2002/05/21,22歳,4年,168cm,72kg,O型,右右,岩手,570万円,ソフトバンク
47,大関　友久,投手,1997/12/14,27歳,5年,184cm,94kg,A型,左左,茨城,"5,500万円",ソフトバンク
48,藤井　皓哉,投手,1996/07/29,28歳,9年,182cm,87kg,AB型,右左,岡山,"5,600万円",ソフトバンク
49,松本　晴,投手,2001/02/24,23歳,2年,181cm,88kg,A型,左左,大阪,800万円,ソフトバンク
50,板東　湧梧,投手,1995/12/27,29歳,6年,182cm,84kg,AB型,右右,徳島,"4,000万円",ソフトバンク
51,前田　純,投手,2000/06/04,24歳,2年,189cm,85kg,不明,左左,沖縄,400万円,ソフトバンク
52,リチャード,内野手,1999/06/18,25歳,7年,189cm,118kg,O型,右右,沖縄,"1,000万円",ソフトバンク
53,大山　凌,投手,2002/03/27,22歳,1年,179cm,77kg,B型,右右,栃木,800万円,ソフトバンク
54,オスナ,投手,1995/02/07,29歳,3年,188cm,104kg,不明,右右,メキシコ,"100,000万円",ソフトバンク
55,石塚　綜一郎,捕手,2001/06/07,23歳,5年,181cm,87kg,B型,右右,秋田,360万円,ソフトバンク
56,田浦　文丸,投手,1999/09/21,25歳,7年,168cm,77kg,O型,左左,福岡,"3,000万円",ソフトバンク
57,緒方　理貢,外野手,1998/09/22,26歳,4年,174cm,72kg,A型,右左,宮崎,400万円,ソフトバンク
58,木村　大成,投手,2003/09/12,21歳,3年,180cm,81kg,A型,左左,北海道,550万円,ソフトバンク
59,長谷川　威展,投手,1999/08/09,25歳,3年,178cm,85kg,AB型,左左,埼玉,770万円,ソフトバンク
60,大野　稼頭央,投手,2004/08/06,20歳,2年,176cm,68kg,B型,左左,鹿児島,500万円,ソフトバンク
61,川村　友斗,外野手,1999/08/13,25歳,3年,181cm,88kg,O型,右左,北海道,400万円,ソフトバンク
62,海野　隆司,捕手,1997/07/15,27歳,5年,174cm,84kg,O型,右右,岡山,"1,200万円",ソフトバンク
63,ヘルナンデス,投手,1996/12/17,28歳,2年,188cm,115kg,不明,左左,ベネズエラ,"6,400万円",ソフトバンク
64,吉田　賢吾,捕手,2001/01/18,23歳,2年,181cm,94kg,B型,右右,神奈川,800万円,ソフトバンク
65,藤田　悠太郎,捕手,2005/06/03,19歳,1年,170cm,75kg,A型,右右,福岡,600万円,ソフトバンク
66,松本　裕樹,投手,1996/04/14,28歳,10年,182cm,87kg,A型,右左,神奈川,"7,000万円",ソフトバンク
67,笠谷　俊介,投手,1997/03/17,27歳,10年,173cm,73kg,AB型,左左,大分,"2,000万円",ソフトバンク
68,木村　光,投手,2000/07/02,24歳,2年,173cm,74kg,B型,右左,奈良,650万円,ソフトバンク
69,仲田　慶介,内野手,1999/07/25,25歳,3年,174cm,77kg,A型,右両,福岡,400万円,ソフトバンク
70,田上　奏大,投手,2002/11/26,22歳,4年,187cm,93kg,B型,右左,大阪,650万円,ソフトバンク
79,渡邉　陸,捕手,2000/09/24,24歳,6年,187cm,90kg,A型,右左,熊本,830万円,ソフトバンク
99,野村　勇,内野手,1996/12/01,28歳,3年,174cm,84kg,B型,右右,兵庫,"2,300万円",ソフトバンク
120,佐藤　宏樹,投手,1999/02/18,25歳,4年,180cm,84kg,AB型,左左,秋田,400万円,ソフトバンク
122,藤野　恵音,内野手,2003/08/23,21歳,3年,181cm,79kg,O型,右右,福岡,360万円,ソフトバンク
123,大泉　周也,外野手,1999/09/16,25歳,1年,173cm,89kg,O型,左左,山形,400万円,ソフトバンク
124,桑原　秀侍,内野手,2002/05/29,22歳,4年,176cm,82kg,A型,右右,熊本,360万円,ソフトバンク
125,古川　侑利,投手,1995/09/08,29歳,11年,178cm,91kg,AB型,右右,佐賀,"1,300万円",ソフトバンク
126,宮里　優吾,投手,2001/09/27,23歳,1年,180cm,89kg,A型,右右,東京,400万円,ソフトバンク
128,伊藤　大将,内野手,2001/07/27,23歳,5年,180cm,80kg,A型,右右,大阪,360万円,ソフトバンク
129,佐倉　侠史朗,内野手,2005/11/03,19歳,1年,183cm,105kg,A型,右左,福岡,360万円,ソフトバンク
130,勝連　大稀,内野手,2001/04/30,23歳,5年,175cm,70kg,B型,右左,沖縄,360万円,ソフトバンク
131,中澤　恒貴,内野手,2005/07/03,19歳,1年,179cm,81kg,O型,右右,東京,360万円,ソフトバンク
133,星野　恒太朗,投手,2001/10/24,23歳,1年,178cm,84kg,A型,右右,福岡,400万円,ソフトバンク
134,大城　真乃,投手,2002/11/24,22歳,4年,170cm,69kg,A型,左左,沖縄,360万円,ソフトバンク
135,アルメンタ,投手,2004/06/26,20歳,3年,185cm,79kg,不明,左左,メキシコ,"1,000万円",ソフトバンク
136,大竹　風雅,投手,1999/08/22,25歳,3年,186cm,87kg,A型,右左,福島,600万円,ソフトバンク
139,井﨑　燦志郎,投手,2004/02/09,20歳,3年,187cm,78kg,B型,右右,福岡,360万円,ソフトバンク
141,フェリックス,投手,1999/11/29,25歳,3年,190cm,81kg,不明,右右,ドミニカ共和国,"1,000万円",ソフトバンク
142,藤原　大翔,投手,2005/12/26,19歳,1年,177cm,64kg,B型,右右,福岡,360万円,ソフトバンク
143,村上　舜,投手,2001/11/01,23歳,5年,174cm,77kg,AB型,左左,山形,360万円,ソフトバンク
144,シモン,外野手,2004/09/18,20歳,3年,185cm,79kg,不明,右右,ドミニカ共和国,"1,000万円",ソフトバンク
145,ハモンド,投手,2004/01/17,20歳,3年,192cm,83kg,O型,右右,東京,360万円,ソフトバンク
146,藤田　淳平,投手,2000/05/14,24歳,1年,182cm,92kg,A型,左左,徳島,400万円,ソフトバンク
147,加藤　洸稀,投手,2003/07/21,21歳,3年,177cm,81kg,A型,左左,兵庫,360万円,ソフトバンク
148,山崎　琢磨,投手,2003/11/06,21歳,3年,185cm,90kg,B型,右左,大阪,360万円,ソフトバンク
149,佐久間　拓斗,内野手,2003/07/17,21歳,3年,183cm,102kg,B型,右右,福島,360万円,ソフトバンク
150,山本　恵大,外野手,1999/08/06,25歳,3年,182cm,93kg,O型,右左,東京,400万円,ソフトバンク
151,加藤　晴空,捕手,2003/04/28,21歳,3年,175cm,79kg,A型,右左,佐賀,360万円,ソフトバンク
152,瀧本　将生,投手,2003/07/29,21歳,3年,179cm,84kg,不明,右右,千葉,360万円,ソフトバンク
153,三代　祥貴,内野手,2004/03/29,20歳,3年,179cm,93kg,O型,右右,大分,360万円,ソフトバンク
154,佐藤　琢磨,投手,2000/03/18,24歳,3年,184cm,85kg,A型,左左,新潟,400万円,ソフトバンク
156,ロドリゲス,投手,2001/08/18,23歳,3年,182cm,90kg,不明,右右,ドミニカ共和国,"1,000万円",ソフトバンク
157,小林　珠維,投手,2001/05/07,23歳,5年,184cm,91kg,A型,右右,北海道,470万円,ソフトバンク
158,赤羽　蓮,投手,2004/04/09,20歳,2年,188cm,89kg,B型,右右,茨城,360万円,ソフトバンク
159,山下　恭吾,内野手,2004/07/07,20歳,2年,175cm,76kg,AB型,右右,福岡,360万円,ソフトバンク
160,長水　啓眞,投手,2005/08/08,19歳,1年,178cm,62kg,A型,左左,京都,360万円,ソフトバンク
161,内野　海斗,投手,2004/07/28,20歳,2年,187cm,93kg,AB型,右右,福岡,360万円,ソフトバンク
162,岡植　純平,投手,2004/07/10,20歳,2年,177cm,78kg,O型,右右,兵庫,360万円,ソフトバンク
163,佐々木　明都,投手,2005/01/02,19歳,2年,182cm,80kg,B型,右右,東京,360万円,ソフトバンク
164,水口　創太,投手,1999/08/09,25歳,2年,194cm,102kg,A型,右右,滋賀,400万円,ソフトバンク
165,宮﨑　颯,投手,2000/06/14,24歳,2年,180cm,94kg,A型,左左,埼玉,400万円,ソフトバンク
166,重松　凱人,外野手,2000/04/12,24歳,2年,187cm,96kg,A型,右右,福岡,400万円,ソフトバンク
168,佐藤　航太,外野手,2004/04/07,20歳,2年,184cm,77kg,A型,右右,東京,360万円,ソフトバンク
169,飛田　悠成,投手,2005/03/13,19歳,2年,185cm,89kg,B型,右左,神奈川,360万円,ソフトバンク
170,西尾　歩真,内野手,2000/06/20,24歳,2年,167cm,66kg,O型,右左,三重,400万円,ソフトバンク
171,盛島　稜大,捕手,2004/05/27,20歳,2年,187cm,104kg,B型,右右,沖縄,360万円,ソフトバンク
172,渡邊　佑樹,投手,1995/11/08,29歳,7年,183cm,89kg,A型,左左,山梨,700万円,ソフトバンク
173,オスーナ,外野手,2007/03/27,17歳,2年,185cm,82kg,不明,右右,ドミニカ共和国,"1,000万円",ソフトバンク
174,鍬原　拓也,投手,1996/03/26,28歳,7年,175cm,84kg,A型,右右,奈良,"1,300万円",ソフトバンク
175,アルモンテ,内野手,2007/12/02,17歳,1年,185cm,82kg,不明,右右,ドミニカ共和国,"1,000万円",ソフトバンク
176,サルディ,投手,2005/11/12,19歳,1年,186cm,81kg,不明,左左,キューバ,"1,500万円",ソフトバンク
177,齊藤　大将,投手,1995/06/03,29歳,7年,178cm,80kg,A型,左左,東京,470万円,ソフトバンク
2,マルティネス,捕手,1996/05/28,28歳,7年,190cm,95kg,不明,右右,キューバ,"12,000万円",日本ハム
3,加藤　豪将,内野手,1994/10/08,30歳,2年,185cm,88kg,O型,右左,アメリカ,"6,500万円",日本ハム
4,上川畑　大悟,内野手,1997/01/12,27歳,3年,167cm,71kg,A型,右左,岡山,"2,900万円",日本ハム
5,野村　佑希,内野手,2000/06/26,24歳,6年,187cm,97kg,O型,右右,アメリカ,"4,800万円",日本ハム
6,スティーブンソン,外野手,1994/06/01,30歳,1年,180cm,86kg,不明,左左,アメリカ,"11,000万円",日本ハム
7,松本　剛,外野手,1993/08/11,31歳,13年,180cm,81kg,AB型,右右,埼玉,"11,000万円",日本ハム
8,淺間　大基,外野手,1996/06/21,28歳,10年,183cm,88kg,B型,右左,東京,"2,500万円",日本ハム
9,中島　卓也,内野手,1991/01/11,33歳,16年,178cm,75kg,A型,右左,福岡,"2,500万円",日本ハム
10,清水　優心,捕手,1996/05/22,28歳,10年,185cm,91kg,A型,右右,山口,"2,700万円",日本ハム
12,矢澤　宏太,投手,2000/08/02,24歳,2年,173cm,71kg,A型,左左,東京,"1,500万円",日本ハム
13,生田目　翼,投手,1995/02/19,29歳,6年,176cm,88kg,A型,右右,茨城,900万円,日本ハム
14,加藤　貴之,投手,1992/06/03,32歳,9年,182cm,90kg,AB型,左左,千葉,"30,000万円",日本ハム
16,達　孝太,投手,2004/03/27,20歳,3年,194cm,97kg,B型,右右,大阪,"1,000万円",日本ハム
17,伊藤　大海,投手,1997/08/31,27歳,4年,176cm,82kg,O型,右左,北海道,"11,000万円",日本ハム
18,山﨑　福也,投手,1992/09/09,32歳,10年,188cm,95kg,B型,左左,埼玉,"6,000万円",日本ハム
19,玉井　大翔,投手,1992/06/16,32歳,8年,178cm,78kg,A型,右右,北海道,"7,100万円",日本ハム
20,上原　健太,投手,1994/03/29,30歳,9年,191cm,95kg,A型,左左,沖縄,"4,000万円",日本ハム
21,清宮　幸太郎,内野手,1999/05/25,25歳,7年,184cm,94kg,O型,右左,東京,"4,400万円",日本ハム
22,杉浦　稔大,投手,1992/02/25,32歳,11年,190cm,91kg,A型,右右,北海道,"5,200万円",日本ハム
23,伏見　寅威,捕手,1990/05/12,34歳,12年,182cm,87kg,AB型,右右,北海道,"10,000万円",日本ハム
24,金村　尚真,投手,2000/08/29,24歳,2年,176cm,85kg,O型,右右,沖縄,"1,200万円",日本ハム
25,宮西　尚生,投手,1985/06/02,39歳,17年,180cm,80kg,O型,左左,兵庫,"5,000万円",日本ハム
26,田中　正義,投手,1994/07/19,30歳,8年,188cm,93kg,A型,右右,神奈川,"3,600万円",日本ハム
27,古川　裕大,捕手,1998/06/19,26歳,4年,184cm,90kg,A型,右左,福岡,"1,200万円",日本ハム
28,河野　竜生,投手,1998/05/30,26歳,5年,175cm,84kg,O型,左左,徳島,"5,000万円",日本ハム
29,細野　晴希,投手,2002/02/26,22歳,1年,180cm,86kg,B型,左左,東京,"1,300万円",日本ハム
30,郡司　裕也,捕手,1997/12/27,27歳,5年,180cm,89kg,A型,右右,千葉,"1,800万円",日本ハム
31,マーフィー,投手,1995/06/10,29歳,1年,196cm,95kg,不明,右右,アメリカ,"12,000万円",日本ハム
32,黒木　優太,投手,1994/08/16,30歳,8年,179cm,85kg,A型,右左,神奈川,"2,500万円",日本ハム
33,進藤　勇也,捕手,2002/03/10,22歳,1年,182cm,90kg,A型,右右,福岡,"1,100万円",日本ハム
34,堀　瑞輝,投手,1998/05/10,26歳,8年,177cm,82kg,A型,左左,広島,"4,200万円",日本ハム
35,福田　光輝,内野手,1997/11/16,27歳,5年,176cm,80kg,A型,右左,大阪,860万円,日本ハム
36,宮崎　一樹,外野手,2001/08/30,23歳,1年,184cm,84kg,O型,右右,東京,900万円,日本ハム
37,江越　大賀,外野手,1993/03/12,31歳,10年,182cm,83kg,O型,右右,長崎,"2,200万円",日本ハム
38,石井　一成,内野手,1994/05/06,30歳,8年,182cm,85kg,O型,右左,栃木,"3,000万円",日本ハム
39,有薗　直輝,内野手,2003/05/21,21歳,3年,185cm,98kg,O型,右右,千葉,630万円,日本ハム
40,福田　俊,投手,1996/12/14,28歳,6年,171cm,73kg,A型,左左,北海道,"2,200万円",日本ハム
41,ロドリゲス,投手,1991/07/06,33歳,7年,196cm,116kg,不明,右右,ドミニカ共和国,"12,000万円",日本ハム
42,ザバラ,投手,1996/12/21,28歳,1年,190cm,117kg,不明,右右,ドミニカ共和国,"11,000万円",日本ハム
43,水野　達稀,内野手,2000/07/30,24歳,3年,171cm,75kg,B型,右左,香川,950万円,日本ハム
44,阪口　樂,内野手,2003/06/24,21歳,3年,187cm,96kg,B型,右左,京都,550万円,日本ハム
45,バーヘイゲン,投手,1990/10/22,34歳,3年,198cm,104kg,不明,右右,アメリカ,"35,000万円",日本ハム
46,畔柳　亨丞,投手,2003/05/03,21歳,3年,178cm,85kg,B型,右右,愛知,540万円,日本ハム
47,鈴木　健矢,投手,1997/12/11,27歳,5年,176cm,80kg,O型,右左,千葉,"3,000万円",日本ハム
48,齋藤　友貴哉,投手,1995/01/05,29歳,6年,184cm,92kg,O型,右左,山形,"1,500万円",日本ハム
49,若林　晃弘,内野手,1993/08/26,31歳,7年,180cm,82kg,A型,右両,東京,"2,300万円",日本ハム
50,五十幡　亮汰,外野手,1998/11/27,26歳,4年,171cm,65kg,B型,右左,埼玉,"1,500万円",日本ハム
51,石川　直也,投手,1996/07/11,28歳,10年,192cm,93kg,A型,右右,山形,"3,500万円",日本ハム
52,池田　隆英,投手,1994/10/01,30歳,8年,181cm,86kg,B型,右右,佐賀,"4,600万円",日本ハム
53,水谷　瞬,外野手,2001/03/09,23歳,6年,193cm,99kg,A型,右右,愛知,560万円,日本ハム
54,安西　叶翔,投手,2004/11/13,20歳,2年,186cm,92kg,A型,右右,京都,530万円,日本ハム
55,松浦　慶斗,投手,2003/07/01,21歳,3年,186cm,101kg,A型,左左,宮城,540万円,日本ハム
56,細川　凌平,内野手,2002/04/25,22歳,4年,174cm,76kg,A型,右左,京都,920万円,日本ハム
57,北山　亘基,投手,1999/04/10,25歳,3年,182cm,82kg,A型,右右,京都,"3,300万円",日本ハム
58,奈良間　大己,内野手,2000/05/08,24歳,2年,172cm,75kg,A型,右右,静岡,"1,200万円",日本ハム
59,根本　悠楓,投手,2003/03/31,21歳,4年,173cm,77kg,O型,左左,北海道,"1,600万円",日本ハム
60,鍵谷　陽平,投手,1990/09/23,34歳,12年,178cm,86kg,O型,右右,北海道,"1,000万円",日本ハム
61,今川　優馬,外野手,1997/01/25,27歳,4年,177cm,86kg,A型,右右,北海道,"1,800万円",日本ハム
62,宮内　春輝,投手,1996/05/25,28歳,2年,176cm,75kg,AB型,右右,千葉,930万円,日本ハム
63,北浦　竜次,投手,2000/01/12,24歳,7年,184cm,99kg,AB型,左左,栃木,850万円,日本ハム
64,田宮　裕涼,捕手,2000/06/13,24歳,6年,175cm,79kg,A型,右左,千葉,700万円,日本ハム
65,明瀬　諒介,内野手,2005/08/25,19歳,1年,183cm,87kg,AB型,右右,大阪,530万円,日本ハム
66,万波　中正,外野手,2000/04/07,24歳,6年,192cm,99kg,A型,右右,東京,"8,000万円",日本ハム
67,山本　拓実,投手,2000/01/31,24歳,7年,167cm,80kg,A型,右右,兵庫,"2,000万円",日本ハム
68,星野　ひので,外野手,2005/04/18,19歳,1年,182cm,84kg,不明,右右,群馬,530万円,日本ハム
93,田中　瑛斗,投手,1999/07/13,25歳,7年,184cm,84kg,A型,右左,大分,750万円,日本ハム
94,福島　蓮,投手,2003/04/25,21歳,3年,190cm,76kg,A型,右右,青森,330万円,日本ハム
95,柳川　大晟,投手,2003/08/21,21歳,3年,191cm,92kg,O型,右右,大分,330万円,日本ハム
98,梅林　優貴,捕手,1998/03/14,26歳,5年,171cm,81kg,A型,右右,広島,770万円,日本ハム
99,レイエス,外野手,1995/07/07,29歳,1年,196cm,120kg,不明,右右,ドミニカ共和国,"10,000万円",日本ハム
111,濵田　泰希,内野手,2005/11/28,19歳,1年,189cm,73kg,O型,右右,兵庫,260万円,日本ハム
112,平田　大樹,外野手,2005/08/25,19歳,1年,181cm,70kg,A型,右左,滋賀,260万円,日本ハム
113,加藤　大和,投手,2006/01/12,18歳,1年,190cm,79kg,A型,左左,愛知,260万円,日本ハム
114,松本　遼大,投手,2002/05/17,22歳,4年,188cm,96kg,A型,右右,岩手,400万円,日本ハム
115,齊藤　伸治,投手,1998/06/13,26歳,4年,181cm,84kg,B型,右右,千葉,400万円,日本ハム
124,阿部　和広,外野手,2003/05/12,21歳,3年,170cm,66kg,不明,右両,神奈川,260万円,日本ハム
125,藤田　大清,外野手,2004/08/23,20歳,2年,187cm,82kg,AB型,右左,長野,260万円,日本ハム
126,中山　晶量,投手,1999/02/08,25歳,2年,188cm,90kg,AB型,右右,徳島,260万円,日本ハム
127,山口　アタル,外野手,1999/05/28,25歳,2年,179cm,89kg,不明,右右,カナダ,260万円,日本ハム
128,山本　晃大,投手,1999/04/23,25歳,2年,186cm,90kg,B型,左左,三重,260万円,日本ハム
137,柿木　蓮,投手,2000/06/25,24歳,6年,181cm,87kg,A型,右右,佐賀,440万円,日本ハム
168,松岡　洸希,投手,2000/08/31,24歳,5年,180cm,85kg,A型,右右,埼玉,600万円,日本ハム
196,孫　易磊,投手,2005/02/10,19歳,1年,183cm,81kg,不明,右左,台湾,600万円,日本ハム
0,渡部　遼人,外野手,1999/09/02,25歳,3年,171cm,70kg,O型,左左,東京,"1,200万円",オリックス
0,エスピノーザ,投手,1998/03/09,26歳,1年,183cm,86kg,不明,右右,ベネズエラ,"4,500万円",オリックス
1,福田　周平,外野手,1992/08/08,32歳,7年,167cm,70kg,A型,右左,大阪,"6,000万円",オリックス
2,若月　健矢,捕手,1995/10/04,29歳,11年,180cm,88kg,O型,右右,埼玉,"12,000万円",オリックス
3,中田　惟斗,投手,2001/09/13,23歳,5年,182cm,92kg,A型,右右,和歌山,250万円,オリックス
3,安達　了一,内野手,1988/01/07,36歳,13年,179cm,80kg,O型,右右,群馬,"5,500万円",オリックス
4,平野　大和,外野手,2001/08/07,23歳,5年,177cm,82kg,O型,右右,宮崎,500万円,オリックス
4,森　友哉,捕手,1995/08/08,29歳,11年,170cm,85kg,A型,右左,大阪,"40,000万円",オリックス
5,西野　真弘,内野手,1990/08/02,34歳,10年,167cm,71kg,O型,右左,東京,"2,300万円",オリックス
6,宗　佑磨,内野手,1996/06/07,28歳,10年,181cm,83kg,B型,右左,東京,"8,300万円",オリックス
7,西川　龍馬,外野手,1994/12/10,30歳,9年,176cm,83kg,O型,右左,大阪,"12,000万円",オリックス
8,ゴンザレス,内野手,1989/03/14,35歳,2年,185cm,93kg,不明,右両,ベネズエラ,"18,000万円",オリックス
9,野口　智哉,内野手,1999/09/20,25歳,3年,181cm,95kg,B型,右左,奈良,"2,500万円",オリックス
10,大城　滉二,内野手,1993/06/14,31歳,9年,175cm,80kg,B型,右右,沖縄,"4,000万円",オリックス
11,山下　舜平大,投手,2002/07/16,22歳,4年,190cm,100kg,B型,右右,福岡,"4,000万円",オリックス
12,東　晃平,投手,1999/12/14,25歳,7年,178cm,90kg,O型,右右,兵庫,"2,400万円",オリックス
13,宮城　大弥,投手,2001/08/25,23歳,5年,171cm,80kg,A型,左左,沖縄,"16,000万円",オリックス
14,宇田川　優希,投手,1998/11/10,26歳,4年,184cm,92kg,O型,右右,埼玉,"4,800万円",オリックス
15,椋木　蓮,投手,2000/01/22,24歳,3年,179cm,86kg,O型,右右,山口,"1,400万円",オリックス
16,平野　佳寿,投手,1984/03/08,40歳,16年,186cm,88kg,O型,右右,京都,"22,000万円",オリックス
17,曽谷　龍平,投手,2000/11/30,24歳,2年,182cm,80kg,A型,左左,奈良,"1,600万円",オリックス
19,山岡　泰輔,投手,1995/09/22,29歳,8年,172cm,68kg,A型,右左,広島,"9,000万円",オリックス
20,山中　尭之,外野手,1999/03/10,25歳,3年,183cm,98kg,A型,右右,茨城,240万円,オリックス
20,阿部　翔太,投手,1992/11/03,32歳,4年,178cm,80kg,B型,右左,大阪,"6,000万円",オリックス
21,山﨑　颯一郎,投手,1998/06/15,26歳,8年,190cm,95kg,B型,右右,石川,"7,000万円",オリックス
22,村西　良太,投手,1997/06/06,27歳,5年,174cm,76kg,O型,右左,兵庫,"1,400万円",オリックス
23,吉田　輝星,投手,2001/01/12,23歳,6年,175cm,83kg,AB型,右右,秋田,"1,600万円",オリックス
24,紅林　弘太郎,内野手,2002/02/07,22歳,5年,187cm,94kg,B型,右右,静岡,"7,200万円",オリックス
25,内藤　鵬,内野手,2004/10/05,20歳,2年,180cm,103kg,A型,右右,愛知,600万円,オリックス
26,齋藤　響介,投手,2004/11/18,20歳,2年,177cm,72kg,O型,右右,岩手,600万円,オリックス
